consumer_id,requests_count
72b34d31-4c14-3bae-9cc6-516a0939c9d6,11
f643db14-a82d-30c2-8c13-889db1d0fcc2,5
beceaa24-823b-3bf9-9ae6-c8dada26b264,13
7ba24e1f-ed19-31b2-a4be-4114721d63af,6
1696f3c4-7732-38f2-9ba8-0eeca8df05d7,16
79b8acdd-9704-346b-9016-284994165b4d,15
d83ff610-3461-36d7-be57-7e909cfce8b8,12
a265b105-379c-3ac3-b9ce-d2587a745468,15
dd373da7-3809-37cf-a280-1f65c388b948,9
e4cd1480-203b-3d85-8a4c-7067184c8fba,8
c964b8b1-f3fe-349e-99b8-59a60af38ce5,14
eca756c0-7d98-31c0-a15d-11467d3a34aa,6
22143d4c-c32a-3461-a31d-a5e56783698d,13
fdbb8ab9-53c2-35c3-b0dc-0433d64c0837,9
ee915528-c5a3-35e0-9e50-e6031c4046ff,10
29a5a16b-e4fa-331f-9f1c-5adea563d7de,11
9f44aa57-6fd1-3150-8d3e-599f64aa9a04,10
47ea2afb-029f-3ca2-821f-4641b0c49d87,15
01aab65d-8e69-3430-b6fd-51d63743a03e,16
56a4dcaa-095c-3ef9-bf35-76fc25b43929,9
0f601f2a-4d4e-3827-9113-598d813eef9c,18
288db0a4-62a6-3352-8475-0404eb1b26c9,11
d16bf16e-e12e-3938-9e8c-1ebf7bf1c0fc,15
fe833685-c563-3f5a-ba78-add5f0218001,7
bf23d9e5-78ed-324c-9f2b-aed8b0122b2f,13
085811e2-0a18-3961-9031-2e8fce005f53,13
4949a2cf-efbe-3b73-a107-9ecbf06d569f,15
cd0f34cb-8688-370f-a732-f687195ebafa,20
2a7c795e-c8e9-335b-88d2-1359c234a215,9
d6edd498-4158-3ee1-8002-bae24bd71afa,13
6197b0d7-1ec8-30f0-97e6-8366252a422a,11
3f4b1fd2-0979-356b-aabc-50915c7caef7,14
eff4412f-93ec-3988-bfe5-76209a845f18,8
8c8f209d-05b4-309c-8f92-d5027473b7b9,15
3ac35776-d026-3307-85c6-589db9ea9632,8
3f885862-8ecd-33d8-b635-2e196c6e583b,8
3a38bb79-75a8-3b42-96a3-7ba21c76afa8,7
f83a714a-2805-3e5b-85c6-10614fe59f38,10
a346a6f0-6e94-3d67-91bd-de446a48118a,10
02f8850c-7f7b-38fa-95d2-d4b324842141,7
2c23bc2a-7129-39a9-b06a-563bc94c1149,9
7c58508c-9d6d-377c-b2b3-525269e62fcf,6
995339f7-eab0-3fd0-b10c-0abeabdad5cb,12
c4d1b370-2b10-345f-831b-587827aaca92,11
e5254cdc-5407-3797-976b-2330e38027df,7
dd751d92-5acd-35c5-9862-77099f31559e,17
c09c7f83-213e-3b24-8adf-d157dc68c9f1,12
2e41e53a-2e75-3518-885a-990160fc77f4,11
1930d201-9535-3c56-ab7e-dd40d35e70a2,9
d87ac108-67d0-33aa-a334-a1411f9ce2ab,12
fa57bd02-48c4-3e70-98dc-2bbeba47841e,8
b184e79d-b46f-3fda-a2df-a0f798146f22,6
7deabe73-c13f-34a5-9575-ffc40a624785,12
3b87514f-4949-3534-a808-098acecff7e4,16
120ac502-04bd-32d8-9f01-e344172a5aac,12
4c62405b-2224-3427-9f70-92d477af5b8f,10
6fae7eda-9254-3720-a215-d124af3b3eb5,14
dbdba249-317d-3a27-bd67-505bcaf50fb0,11
f20b1b17-a27b-392c-9bb2-cf0a23185790,8
45b8ff91-3f63-3520-a203-67a378408d7d,19
22628141-4f5b-315e-9df6-d31c062f983c,12
b1f68685-49dc-3be8-8f1f-b44a65582063,6
4c88ebc1-5f8d-3162-9eec-78509c8c73d3,9
8c42fbf6-0c69-3c74-a4f2-fdad0b431061,11
56d2d029-1e63-37f2-aae3-95bbeebff19c,13
